timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260524T113547Z,latency,kruda,json-static,1,-t4 -c128 -d15s,844395.59,0.099,0.182,0.826,8.040,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-latency-json-static-round-1.txt
20260524T113547Z,latency,kruda,json-static,2,-t4 -c128 -d15s,832364.21,0.105,0.208,0.930,13.230,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-latency-json-static-round-2.txt
20260524T113547Z,latency,kruda,json-static,3,-t4 -c128 -d15s,807583.86,0.103,0.205,0.736,11.210,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-latency-json-static-round-3.txt
20260524T113547Z,latency,kruda,json-static,4,-t4 -c128 -d15s,811769.63,0.110,0.221,0.880,7.420,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-latency-json-static-round-4.txt
20260524T113547Z,latency,kruda,json-static,5,-t4 -c128 -d15s,828035.19,0.107,0.211,0.575,9.250,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-latency-json-static-round-5.txt
20260524T113547Z,throughput,kruda,json-static,1,-t4 -c256 -d15s,831897.15,0.197,0.419,0.860,13.220,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-throughput-json-static-round-1.txt
20260524T113547Z,throughput,kruda,json-static,2,-t4 -c256 -d15s,824920.11,0.209,0.433,0.940,12.680,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-throughput-json-static-round-2.txt
20260524T113547Z,throughput,kruda,json-static,3,-t4 -c256 -d15s,800117.23,0.227,0.496,0.960,10.310,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-throughput-json-static-round-3.txt
20260524T113547Z,throughput,kruda,json-static,4,-t4 -c256 -d15s,839299.74,0.133,0.339,0.792,14.270,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-throughput-json-static-round-4.txt
20260524T113547Z,throughput,kruda,json-static,5,-t4 -c256 -d15s,833256.97,0.165,0.382,1.050,12.320,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/kruda-throughput-json-static-round-5.txt
20260524T113547Z,latency,fiber,json-static,1,-t4 -c128 -d15s,640301.77,0.139,0.561,2.760,19.960,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-latency-json-static-round-1.txt
20260524T113547Z,latency,fiber,json-static,2,-t4 -c128 -d15s,646025.90,0.138,0.562,2.720,17.470,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-latency-json-static-round-2.txt
20260524T113547Z,latency,fiber,json-static,3,-t4 -c128 -d15s,638054.43,0.140,0.611,2.780,15.170,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-latency-json-static-round-3.txt
20260524T113547Z,latency,fiber,json-static,4,-t4 -c128 -d15s,644603.01,0.140,0.598,2.790,14.740,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-latency-json-static-round-4.txt
20260524T113547Z,latency,fiber,json-static,5,-t4 -c128 -d15s,638794.48,0.141,0.629,2.840,12.670,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-latency-json-static-round-5.txt
20260524T113547Z,throughput,fiber,json-static,1,-t4 -c256 -d15s,648991.64,0.262,1.020,3.250,12.510,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-throughput-json-static-round-1.txt
20260524T113547Z,throughput,fiber,json-static,2,-t4 -c256 -d15s,660222.25,0.259,0.990,3.300,13.800,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-throughput-json-static-round-2.txt
20260524T113547Z,throughput,fiber,json-static,3,-t4 -c256 -d15s,647376.78,0.263,1.080,3.360,17.610,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-throughput-json-static-round-3.txt
20260524T113547Z,throughput,fiber,json-static,4,-t4 -c256 -d15s,647455.59,0.266,1.150,3.440,13.210,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-throughput-json-static-round-4.txt
20260524T113547Z,throughput,fiber,json-static,5,-t4 -c256 -d15s,643708.38,0.269,1.170,3.550,22.820,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/fiber-throughput-json-static-round-5.txt
20260524T113547Z,latency,actix,json-static,1,-t4 -c128 -d15s,708968.78,0.091,0.581,2.840,14.280,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-latency-json-static-round-1.txt
20260524T113547Z,latency,actix,json-static,2,-t4 -c128 -d15s,711358.39,0.089,0.676,2.910,14.060,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-latency-json-static-round-2.txt
20260524T113547Z,latency,actix,json-static,3,-t4 -c128 -d15s,713702.93,0.092,0.597,2.920,15.310,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-latency-json-static-round-3.txt
20260524T113547Z,latency,actix,json-static,4,-t4 -c128 -d15s,720389.90,0.090,0.688,3.010,13.130,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-latency-json-static-round-4.txt
20260524T113547Z,latency,actix,json-static,5,-t4 -c128 -d15s,704918.76,0.089,0.703,3.180,18.720,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-latency-json-static-round-5.txt
20260524T113547Z,throughput,actix,json-static,1,-t4 -c256 -d15s,736275.47,0.166,0.910,3.160,12.740,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-throughput-json-static-round-1.txt
20260524T113547Z,throughput,actix,json-static,2,-t4 -c256 -d15s,748511.68,0.167,1.340,3.590,13.330,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-throughput-json-static-round-2.txt
20260524T113547Z,throughput,actix,json-static,3,-t4 -c256 -d15s,742215.44,0.166,1.030,3.300,16.100,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-throughput-json-static-round-3.txt
20260524T113547Z,throughput,actix,json-static,4,-t4 -c256 -d15s,754778.66,0.167,1.180,3.360,13.230,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-throughput-json-static-round-4.txt
20260524T113547Z,throughput,actix,json-static,5,-t4 -c256 -d15s,741643.30,0.169,0.950,3.240,19.070,0,0,/home/tiger/kruda-wing-dirty-cleanup-phase10-20260524T112328Z/bench/reproducible/results/20260524Tphase10-dirty-cleanup-json-static-readbuf4k-p3640/raw/actix-throughput-json-static-round-5.txt
